"type","severity","pedestrian","bicycle","motorcycle","roadtype","coord_e","coord_n","year","month","month_name","weekday","weekday_name","hour"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681449,1248857,2020,1,"January",1,"Monday","19h-20h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2683438,1252203,2020,1,"January",2,"Tuesday","06h-07h"
"Skidding or self-accident","Light injuries",FALSE,TRUE,FALSE,"Minor road",2684444,1247173,2020,1,"January",2,"Tuesday","07h-08h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2681422,1242772,2020,1,"January",2,"Tuesday","09h-10h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2684697,1247788,2020,1,"January",2,"Tuesday","10h-11h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2684978,1246378,2020,1,"January",2,"Tuesday","10h-11h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2683950,1246420,2020,1,"January",2,"Tuesday","11h-12h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2679131,1249097,2020,1,"January",2,"Tuesday","11h-12h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684155,1251169,2020,1,"January",2,"Tuesday","12h-13h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Principal road",2683850,1247181,2020,1,"January",2,"Tuesday","13h-14h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2680711,1250706,2020,1,"January",2,"Tuesday","16h-17h"
"Turning-into main road","Light injuries",FALSE,FALSE,FALSE,"Minor road",2682995,1251535,2020,1,"January",2,"Tuesday","18h-19h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Principal road",2683887,1251504,2020,1,"January",2,"Tuesday","18h-19h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682289,1248018,2020,1,"January",2,"Tuesday","18h-19h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682309,1248174,2020,1,"January",2,"Tuesday","19h-20h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683559,1250747,2020,1,"January",2,"Tuesday","19h-20h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683102,1247902,2020,1,"January",2,"Tuesday","20h-21h"
"Head-on collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2684060,1245682,2020,1,"January",2,"Tuesday","20h-21h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682128,1248062,2020,1,"January",2,"Tuesday","21h-22h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682951,1246945,2020,1,"January",2,"Tuesday","21h-22h"
"Turning left or right","Property damage",FALSE,FALSE,FALSE,"Minor road",2685191,1246590,2020,1,"January",3,"Wednesday","08h-09h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2684587,1245376,2020,1,"January",3,"Wednesday","08h-09h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Minor road",2681916,1249630,2020,1,"January",3,"Wednesday","10h-11h"
"Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Principal road",2681540,1248966,2020,1,"January",3,"Wednesday","10h-11h"
"Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Principal road",2682071,1249905,2020,1,"January",3,"Wednesday","11h-12h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Principal road",2683574,1246734,2020,1,"January",3,"Wednesday","12h-13h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Other",2686772,1245913,2020,1,"January",3,"Wednesday","15h-16h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2684585,1245747,2020,1,"January",3,"Wednesday","15h-16h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2683328,1250439,2020,1,"January",3,"Wednesday","15h-16h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Motorway",2684948,1251185,2020,1,"January",3,"Wednesday","16h-17h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683076,1249744,2020,1,"January",3,"Wednesday","17h-18h"
"Turning-into main road","Light injuries",FALSE,FALSE,TRUE,"Minor road",2681693,1246790,2020,1,"January",3,"Wednesday","18h-19h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2685207,1251772,2020,1,"January",3,"Wednesday","18h-19h"
"Overtaking or changing lanes","Light injuries",FALSE,TRUE,FALSE,"Minor road",2682377,1247449,2020,1,"January",3,"Wednesday","19h-20h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Principal road",2682770,1245149,2020,1,"January",3,"Wednesday","21h-22h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Other",2680946,1249566,2020,1,"January",4,"Thursday","08h-09h"
"Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2684555,1245427,2020,1,"January",4,"Thursday","08h-09h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2685560,1251707,2020,1,"January",4,"Thursday","08h-09h"
"Skidding or self-accident","Severe injuries",FALSE,TRUE,FALSE,"Minor road",2684851,1246060,2020,1,"January",4,"Thursday","08h-09h"
"Accident involving pedestrian(s)","Severe injuries",TRUE,TRUE,FALSE,"Minor road",2686088,1250676,2020,1,"January",4,"Thursday","12h-13h"
"Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Principal road",2682212,1249279,2020,1,"January",4,"Thursday","12h-13h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2679539,1248372,2020,1,"January",4,"Thursday","12h-13h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2679491,1247320,2020,1,"January",4,"Thursday","12h-13h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681940,1247039,2020,1,"January",4,"Thursday","12h-13h"
"Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Minor road",2679456,1249128,2020,1,"January",4,"Thursday","13h-14h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683330,1247083,2020,1,"January",4,"Thursday","13h-14h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2682332,1247985,2020,1,"January",4,"Thursday","13h-14h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2682546,1248085,2020,1,"January",4,"Thursday","14h-15h"
"Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Motorway",2680825,1253748,2020,1,"January",4,"Thursday","14h-15h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2683783,1248325,2020,1,"January",4,"Thursday","14h-15h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Motorway",2683370,1254107,2020,1,"January",4,"Thursday","14h-15h"
"Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Principal road",2682791,1250756,2020,1,"January",4,"Thursday","15h-16h"
"Accident involving pedestrian(s)","Severe injuries",TRUE,FALSE,FALSE,"Minor road",2680429,1250560,2020,1,"January",4,"Thursday","17h-18h"
"Rear-end collision","Light injuries",FALSE,FALSE,FALSE,"Motorway",2685511,1251766,2020,1,"January",4,"Thursday","17h-18h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683533,1247594,2020,1,"January",4,"Thursday","19h-20h"
"Turning-into main road","Property damage",FALSE,FALSE,FALSE,"Minor road",2678917,1247865,2020,1,"January",5,"Friday","07h-08h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681628,1247679,2020,1,"January",5,"Friday","08h-09h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2683596,1253499,2020,1,"January",5,"Friday","10h-11h"
"Turning left or right","Light injuries",FALSE,FALSE,FALSE,"Principal road",2685183,1246106,2020,1,"January",5,"Friday","10h-11h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Principal road",2685231,1246107,2020,1,"January",5,"Friday","11h-12h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2685017,1250991,2020,1,"January",5,"Friday","14h-15h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Motorway",2681743,1244624,2020,1,"January",5,"Friday","14h-15h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2680495,1251033,2020,1,"January",5,"Friday","16h-17h"
"Parking","Property damage",FALSE,FALSE,FALSE,"Minor road",2681220,1247593,2020,1,"January",5,"Friday","18h-19h"
"Rear-end collision","Property damage",FALSE,FALSE,FALSE,"Principal road",2681581,1247674,2020,1,"January",5,"Friday","18h-19h"
"Overtaking or changing lanes","Property damage",FALSE,FALSE,FALSE,"Minor road",2683590,1246771,2020,1,"January",5,"Friday","20h-21h"
"Accident involving pedestrian(s)","Light injuries",TRUE,FALSE,FALSE,"Minor road",2684499,1245912,2020,1,"January",5,"Friday","21h-22h"
"Turning-into main road","Light injuries",FALSE,TRUE,FALSE,"Minor road",2681693,1246790,2020,1,"January",6,"Saturday","03h-04h"
"Turning left or right","Light injuries",FALSE,FALSE,FALSE,"Minor road",2682905,1246818,2020,1,"January",6,"Saturday","08h-09h"
"Skidding or self-accident","Property damage",FALSE,FALSE,FALSE,"Minor road",2681506,1247206,2020,1,"January",6,"Saturday","10h-11h"
